Date,X_1,X_2,X_3
11/24/2020,72.2,3635.41,22.48
11/25/2020,69.6,3629.65,22.5
11/27/2020,70.04,3638.35,21.6
11/30/2020,68.72,3621.63,22.89
12/1/2020,69.4,3662.45,20.92
12/2/2020,69.04,3669.01,21.25
12/3/2020,69.68,3666.72,21.88
12/4/2020,68.44,3699.12,21.15
12/7/2020,68.84,3691.96,22.62
12/8/2020,66.36,3702.25,20.7
12/9/2020,68.8,3672.82,22.93
12/10/2020,69.44,3668.1,23.46
12/11/2020,72,3663.46,25.14
12/14/2020,73.64,3647.49,24.82
12/15/2020,70.24,3694.62,24.07
12/16/2020,67.96,3701.17,23.67
12/17/2020,67,3722.48,22.27
12/18/2020,68.32,3709.41,23.77
12/21/2020,73.76,3694.92,31.46
12/22/2020,72.44,3687.26,25.56
12/23/2020,69.52,3690.01,22.73
12/24/2020,67.6,3703.06,22.83
12/28/2020,67.28,3735.36,22.12
12/29/2020,69.72,3727.04,23.72
12/30/2020,67.28,3732.04,23.23
12/31/2020,67.16,3756.07,23.25
1/4/2021,73.16,3700.65,29.19
1/5/2021,70.56,3726.86,28.6
1/6/2021,70.2,3748.14,26.77
1/7/2021,66,3803.79,23.91
1/8/2021,65.4,3824.68,23.34
1/11/2021,69.36,3799.61,24.81
1/12/2021,67,3801.19,25.15
1/13/2021,65.96,3809.84,24.18
1/14/2021,66.72,3795.54,23.47
1/15/2021,68.44,3768.25,25.8
1/19/2021,66.52,3798.91,23.56
1/20/2021,65.28,3851.85,22.86
1/21/2021,64.72,3853.07,22.22
1/22/2021,65.6,3841.47,23.73
1/25/2021,68.24,3855.36,26.63
1/26/2021,68.8,3849.62,23.94
1/27/2021,81,3750.77,37.21
1/28/2021,79.16,3787.38,36.29
1/29/2021,84.32,3714.24,37.51
2/1/2021,79.52,3773.86,33.96
2/2/2021,72.76,3826.31,28.08
2/3/2021,69,3830.17,25.43
2/4/2021,66,3871.74,23.44
2/5/2021,65.88,3886.83,22.16
2/8/2021,65.36,3915.59,22.07
2/9/2021,65.6,3911.23,22.26
2/10/2021,66.68,3909.88,23.85
